Line,TIME
300101,42651.69654
300101,42651.69656
300101,42651.69656
300101,42651.69657
300101,42651.69657
300101,42651.69659
300101,42651.69659
300101,42651.69661
300101,42651.69661
300101,42651.69663
300101,42651.69663
300101,42651.69664
300101,42651.69664
300101,42651.69666
300101,42651.69666
300101,42651.69668
300101,42651.69668
300101,42651.6967
300101,42651.6967
300101,42651.69671
300101,42651.69671
300101,42651.69673
300101,42651.69673
300101,42651.69675
300101,42651.69675
300101,42651.69677
300101,42651.69677
300101,42651.69678
300101,42651.69678
300101,42651.6968
300101,42651.6968
300101,42651.69682
300101,42651.69682
300101,42651.69683
300101,42651.69683
300101,42651.69685
300101,42651.69685
300101,42651.69687
300101,42651.69687
300101,42651.69689
300101,42651.69689
300101,42651.6969
300101,42651.6969
300101,42651.69692
300101,42651.69692
300101,42651.69694
300101,42651.69694
300101,42651.69696
300101,42651.69696
300101,42651.69697
300101,42651.69697
300101,42651.69699
300101,42651.69699
300101,42651.69701
300101,42651.69701
300101,42651.69703
300101,42651.69703
300101,42651.69704
300101,42651.69704
300101,42651.69706
300101,42651.69706
300101,42651.69708
300101,42651.69708
300101,42651.69709
300101,42651.69709
300101,42651.69711
300101,42651.69711
300101,42651.69713
300101,42651.69713
300101,42651.69715
300101,42651.69715
300101,42651.69716
300101,42651.69716
300101,42651.69718
300101,42651.69718
300101,42651.6972
300101,42651.6972
300101,42651.69722
300101,42651.69722
300101,42651.69723
300101,42651.69723
300101,42651.69725
300101,42651.69725
300101,42651.69727
300101,42651.69727
300101,42651.69729
300101,42651.69729
300101,42651.6973
300101,42651.6973
300101,42651.69732
300101,42651.69732
300101,42651.69734
300101,42651.69734
300101,42651.69736
300101,42651.69736
300101,42651.69737
300101,42651.69737
300101,42651.69739
300101,42651.69739
300101,42651.69741
